id Pelanggan,harga,Pelayanan,Score,Rekomendasi
1,42675,29,30.0,rendah
2,45791,30,30.0,rendah
3,34107,71,61.76470588235294,sedang
4,51772,34,30.000000000000004,rendah
5,26321,12,30.0,rendah
6,50323,27,30.0,rendah
7,31005,37,30.000000000000004,rendah
8,54926,42,30.0,rendah
9,48918,18,30.0,rendah
10,37914,61,60.0,sedang
11,44518,83,60.0,sedang
12,33831,56,60.0,sedang
13,35119,79,60.00000000000001,sedang
14,33079,5,30.0,rendah
15,22346,55,60.0,sedang
16,47217,88,60.0,sedang
17,37103,9,30.0,rendah
18,46273,23,30.0,rendah
19,46450,81,59.99999999999999,sedang
20,36312,32,30.0,rendah
21,37801,43,39.0,rendah
22,39211,99,60.00000000000001,sedang
23,22825,77,78.26086956521739,tinggi
24,43004,11,30.0,rendah
25,34513,94,62.922,sedang
26,28711,10,30.0,rendah
27,23319,53,60.0,sedang
28,45668,39,29.999999999999996,rendah
29,27703,58,60.00000000000001,sedang
30,35571,6,30.0,rendah
31,27802,19,30.000000000000004,rendah
32,33705,60,60.0,sedang
33,24704,73,66.66666666666667,sedang
34,41017,14,30.0,rendah
35,40607,87,60.0,sedang
36,29803,64,60.0,sedang
37,49697,72,37.24111771399671,rendah
38,32227,22,30.0,rendah
39,20122,17,30.0,rendah
40,20600,57,60.0,sedang
41,32311,68,59.99999999999999,sedang
42,41118,98,60.0,sedang
43,45778,74,56.03690287525469,sedang
44,25927,49,57.0,sedang
45,30146,48,53.50340136054422,sedang
46,49222,38,30.0,rendah
47,39852,2,30.0,rendah
48,41986,91,60.00000000000001,sedang
49,54283,67,30.0,rendah
50,45874,95,60.0,sedang
51,50127,16,30.0,rendah
52,24858,40,30.0,rendah
53,45388,4,30.0,rendah
54,29120,51,59.99999999999999,sedang
55,34027,76,64.90918264379414,sedang
56,34960,62,59.99999999999999,sedang
57,40180,65,60.0,sedang
58,35311,75,60.00000000000001,sedang
59,31491,25,30.0,rendah
60,24630,13,30.0,rendah
61,37513,7,30.0,rendah
62,40984,70,60.0,sedang
63,33102,15,30.0,rendah
64,41103,3,30.0,rendah
65,45149,69,59.105999999999995,sedang
66,20052,80,90.0,tinggi
67,47324,8,30.0,rendah
68,40233,44,42.0,sedang
69,24551,85,90.0,tinggi
70,45034,41,32.959747434885564,rendah
71,21729,26,30.0,rendah
72,38869,90,60.0,sedang
73,43751,50,60.0,sedang
74,26142,66,60.00000000000001,sedang
75,44643,63,60.0,sedang
76,23454,35,30.0,rendah
77,25330,47,51.0,sedang
78,27315,86,90.0,tinggi
79,22360,92,90.0,tinggi
80,22012,89,90.0,tinggi
81,28905,52,60.0,sedang
82,52995,28,30.0,rendah
83,49275,46,33.37209302325581,rendah
84,44073,82,60.0,sedang
85,35507,45,45.0,sedang
86,29811,84,90.0,tinggi
87,47995,78,55.50337247064702,sedang
88,35304,100,60.0,sedang
89,43352,20,30.0,rendah
90,50325,93,60.0,sedang
91,22726,59,60.0,sedang
92,40468,36,30.000000000000004,rendah
93,31255,1,30.0,rendah
94,52973,97,60.0,sedang
95,49073,33,30.0,rendah
96,32345,21,30.0,rendah
97,52788,24,30.0,rendah
98,36576,31,30.0,rendah
99,33738,54,60.0,sedang
100,54721,96,60.0,sedang
